FirstLast,Criteria,FirstLast,Year,YearsPlayed,RosterLink,Hometown,HS,ClassYear,College,First,Gender,Last,MidInit,MidName,Name,RosterYear
Alexandra D'Ascenzo, Cornell,Alexandra D'Ascenzo,2017,4,https://cornellbigred.com/sports/womens-tennis/roster/alexandra-d-ascenzo/42562,"West Bloomfield, Mich.",Frankel Jewish Academy,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Alexandra,F,D'Ascenzo,,,Alexandra D'Ascenzo,"[""2013-14 Women's Tennis Roster"" ""2014-15 Women's Tennis Roster""
 ""2015-16 Women's Tennis Roster"" ""2016-17 Women's Tennis Roster""]"
Maria Perez de la Llave, Cornell,Maria Perez de la Llave,2017,1,https://cornellbigred.com/sports/womens-tennis/roster/maria-perez-de-la-llave/42570,"Madrid, Spain",Saint Anne's School,['Freshman'],Cornell University,Maria,F,de la Llave,Perez, Perez,Maria Perez de la Llave,"[""2016-17 Women's Tennis Roster""]"
Mariam Salakaia, Cornell,Mariam Salakaia,2017,1,https://cornellbigred.com/sports/womens-tennis/roster/mariam-salakaia/42572,"Falls Church, Va.",George Mason HS,['Freshman'],Cornell University,Mariam,F,Salakaia,,,Mariam Salakaia,"[""2016-17 Women's Tennis Roster""]"
Kristin Quill, Cornell,Kristin Quill,2016,3,https://cornellbigred.com/sports/womens-tennis/roster/kristin-quill/41168,"Nanuet, N.Y.",Nanuet HS,['Freshman' 'Sophomore' 'Junior'],Cornell University,Kristin,F,Quill,,,Kristin Quill,"[""2013-14 Women's Tennis Roster"" ""2014-15 Women's Tennis Roster""
 ""2015-16 Women's Tennis Roster""]"
Dena Tanenbaum, Cornell,Dena Tanenbaum,2016,4,https://cornellbigred.com/sports/womens-tennis/roster/dena-tanenbaum/41173,"Manasquan, N.J.",Red Bank Catholic,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Dena,F,Tanenbaum,,,Dena Tanenbaum,"[""2012-13 Women's Tennis Roster"" ""2013-14 Women's Tennis Roster""
 ""2014-15 Women's Tennis Roster"" ""2015-16 Women's Tennis Roster""]"
Jane Stewart, Cornell,Jane Stewart,2016,2,https://cornellbigred.com/sports/womens-tennis/roster/jane-stewart/41171,"New York, NY",The Chapin School (Rice University),['Junior' 'Senior'],Cornell University,Jane,F,Stewart,,,Jane Stewart,"[""2014-15 Women's Tennis Roster"" ""2015-16 Women's Tennis Roster""]"
Laila Judeh, Cornell,Laila Judeh,2014,2,https://cornellbigred.com/sports/womens-tennis/roster/laila-judeh/34240,"Potomac, Md.",Winston Churchill HS,['Freshman' 'Sophomore'],Cornell University,Laila,F,Judeh,,,Laila Judeh,"[""2012-13 Women's Tennis Roster"" ""2013-14 Women's Tennis Roster""]"
Lauren Frazier, Cornell,Lauren Frazier,2014,3,https://cornellbigred.com/sports/womens-tennis/roster/lauren-frazier/34239,"Greenville, N.C.",Junius H. Rose HS,['Freshman' 'Sophomore' 'Junior'],Cornell University,Lauren,F,Frazier,,,Lauren Frazier,"[""2011-12 Women's Tennis Roster"" ""2012-13 Women's Tennis Roster""
 ""2013-14 Women's Tennis Roster""]"
Courtney Malinchak, Cornell,Courtney Malinchak,2014,3,https://cornellbigred.com/sports/womens-tennis/roster/courtney-malinchak/34242,"Parkland, Fla.",Pine Crest HS,['Freshman' 'Sophomore' 'Junior'],Cornell University,Courtney,F,Malinchak,,,Courtney Malinchak,"[""2011-12 Women's Tennis Roster"" ""2012-13 Women's Tennis Roster""
 ""2013-14 Women's Tennis Roster""]"
Shannon Comolli, Cornell,Shannon Comolli,2014,2,https://cornellbigred.com/sports/womens-tennis/roster/shannon-comolli/36831,"Newburyport, Mass.",Philips Exeter Academy,['Freshman' 'Senior'],Cornell University,Shannon,F,Comolli,,,Shannon Comolli,"[""2010-11 Women's Tennis Roster"" ""2013-14 Women's Tennis Roster""]"
Christy Kung, Cornell,Christy Kung,2014,2,https://cornellbigred.com/sports/womens-tennis/roster/christy-kung/34241,"Pembroke Pines, Fla.",West Broward HS,['Freshman' 'Sophomore'],Cornell University,Christy,F,Kung,,,Christy Kung,"[""2012-13 Women's Tennis Roster"" ""2013-14 Women's Tennis Roster""]"
Kyja Kutnick, Cornell,Kyja Kutnick,2014,1,https://cornellbigred.com/sports/womens-tennis/roster/kyja-kutnick/35267,"Redding, Conn.",Green Farms Academy,['Freshman'],Cornell University,Kyja,F,Kutnick,,,Kyja Kutnick,"[""2013-14 Women's Tennis Roster""]"
Ryann Young, Cornell,Ryann Young,2014,4,https://cornellbigred.com/sports/womens-tennis/roster/ryann-young/34246,"Northbrook, Ill.","St. Stephen's Episcopal School (Austin, Texas)",['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Ryann,F,Young,,,Ryann Young,"[""2010-11 Women's Tennis Roster"" ""2011-12 Women's Tennis Roster""
 ""2012-13 Women's Tennis Roster"" ""2013-14 Women's Tennis Roster""]"
Christine Ordway, Cornell,Christine Ordway,2013,4,https://cornellbigred.com/sports/womens-tennis/roster/christine-ordway/31348,"Falmouth, Maine",Waynflete School,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Christine,F,Ordway,,,Christine Ordway,"[""2009-10 Women's Tennis Roster"" ""2010-11 Women's Tennis Roster""
 ""2011-12 Women's Tennis Roster"" ""2012-13 Women's Tennis Roster""]"
Kirsten Kohagen, Cornell,Kirsten Kohagen,2013,4,https://cornellbigred.com/sports/womens-tennis/roster/kirsten-kohagen/31344,"Raleigh, N.C.",Cary Academy,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Kirsten,F,Kohagen,,,Kirsten Kohagen,"[""2009-10 Women's Tennis Roster"" ""2010-11 Women's Tennis Roster""
 ""2011-12 Women's Tennis Roster"" ""2012-13 Women's Tennis Roster""]"
Sara Perelman, Cornell,Sara Perelman,2013,2,https://cornellbigred.com/sports/womens-tennis/roster/sara-perelman/31349,"Pittsburgh, Pa.",Shady Side Academy,['Freshman' 'Sophomore'],Cornell University,Sara,F,Perelman,,,Sara Perelman,"[""2011-12 Women's Tennis Roster"" ""2012-13 Women's Tennis Roster""]"
Sarah O'Neil, Cornell,Sarah O'Neil,2013,4,https://cornellbigred.com/sports/womens-tennis/roster/sarah-o-neil/31347,"Lynnfield, Mass.",Lynnfield High School,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Sarah,F,O'Neil,,,Sarah O'Neil,"[""2009-10 Women's Tennis Roster"" ""2010-11 Women's Tennis Roster""
 ""2011-12 Women's Tennis Roster"" ""2012-13 Women's Tennis Roster""]"
Gabby Sullivan, Cornell,Gabby Sullivan,2012,1,https://cornellbigred.com/sports/womens-tennis/roster/gabby-sullivan/23786,"Brooklyn, N.Y.",Poly Prep Country Day School,['Freshman'],Cornell University,Gabby,F,Sullivan,,,Gabby Sullivan,"[""2011-12 Women's Tennis Roster""]"
Nina Turudic, Cornell,Nina Turudic,2012,1,https://cornellbigred.com/sports/womens-tennis/roster/nina-turudic/23787,"Zagreb, Croatia",Zagreb Gymnasium,['Freshman'],Cornell University,Nina,F,Turudic,,,Nina Turudic,"[""2011-12 Women's Tennis Roster""]"
Lusiné Mehrabyan, Cornell,Lusiné Mehrabyan,2012,1,https://cornellbigred.com/sports/womens-tennis/roster/lusin-mehrabyan/24370,"Yerevan, Armenia",Ithaca HS,['Sophomore'],Cornell University,Lusiné,F,Mehrabyan,,,Lusiné Mehrabyan,"[""2011-12 Women's Tennis Roster""]"
Rosemary Li, Cornell,Rosemary Li,2012,1,https://cornellbigred.com/sports/womens-tennis/roster/rosemary-li/24021,"Briarcliff, N.Y.",Horace Greeley HS,['Freshman'],Cornell University,Rosemary,F,Li,,,Rosemary Li,"[""2011-12 Women's Tennis Roster""]"
Sinziana Chis, Cornell,Sinziana Chis,2011,4,https://cornellbigred.com/sports/womens-tennis/roster/sinziana-chis/13985,"Vancouver, B.C.",Sentinel Secondary School,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Sinziana,F,Chis,,,Sinziana Chis,"[""2007-08 Women's Tennis Roster"" ""2008-09 Women's Tennis Roster""
 ""2009-10 Women's Tennis Roster"" ""2010-11 Women's Tennis Roster""]"
Kelly Comolli, Cornell,Kelly Comolli,2011,1,https://cornellbigred.com/sports/womens-tennis/roster/kelly-comolli/14085,"Newburyport, Mass.",Philips Exeter Academy,['Freshman'],Cornell University,Kelly,F,Comolli,,,Kelly Comolli,"[""2010-11 Women's Tennis Roster""]"
Leah Seyburn, Cornell,Leah Seyburn,2011,3,https://cornellbigred.com/sports/womens-tennis/roster/leah-seyburn/13991,"Roslyn Heights, N.Y.",Roslyn HS,['Sophomore' 'Junior' 'Senior'],Cornell University,Leah,F,Seyburn,,,Leah Seyburn,"[""2008-09 Women's Tennis Roster"" ""2009-10 Women's Tennis Roster""
 ""2010-11 Women's Tennis Roster""]"
Ruxandra Dumitrescu, Cornell,Ruxandra Dumitrescu,2011,4,https://cornellbigred.com/sports/womens-tennis/roster/ruxandra-dumitrescu/13986,"Cortland Manor, N.Y.",Hendrick Hudson HS,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Ruxandra,F,Dumitrescu,,,Ruxandra Dumitrescu,"[""2007-08 Women's Tennis Roster"" ""2008-09 Women's Tennis Roster""
 ""2009-10 Women's Tennis Roster"" ""2010-11 Women's Tennis Roster""]"
Elizabeth Kaufman, Cornell,Elizabeth Kaufman,2011,1,https://cornellbigred.com/sports/womens-tennis/roster/elizabeth-kaufman/14087,"Potomac, Md.",Winston Churchill HS,['Freshman'],Cornell University,Elizabeth,F,Kaufman,,,Elizabeth Kaufman,"[""2010-11 Women's Tennis Roster""]"
Geraldine Leong, Cornell,Geraldine Leong,2010,1,,"Mid-levels, Hong Kong",Hong Kong International Tennis Academy,['Freshman'],Cornell University,Geraldine,F,Leong,,,Geraldine Leong,"[""2009-10 Women's Tennis Roster""]"
Kristin Lim, Cornell,Kristin Lim,2010,1,,"Honolulu, Hawaii",Punahou School,['Freshman'],Cornell University,Kristin,F,Lim,,,Kristin Lim,"[""2009-10 Women's Tennis Roster""]"
Susan Sullivan, Cornell,Susan Sullivan,2010,2,,"St. Louis, Mo.",John Borroughs School,['Freshman' 'Senior'],Cornell University,Susan,F,Sullivan,,,Susan Sullivan,"[""2006-07 Women's Tennis Roster"" ""2009-10 Women's Tennis Roster""]"
Natalia Sanchez, Cornell,Natalia Sanchez,2010,2,https://cornellbigred.com/sports/womens-tennis/roster/natalia-sanchez/11875,"Weston, Fla.",Sagemont Upper School,['Junior' 'Senior'],Cornell University,Natalia,F,Sanchez,,,Natalia Sanchez,"[""2008-09 Women's Tennis Roster"" ""2009-10 Women's Tennis Roster""]"
Elizabeth Googe, Cornell,Elizabeth Googe,2009,4,https://cornellbigred.com/sports/womens-tennis/roster/elizabeth-googe/10746,"Knoxville, Tenn.",Webb School of Knoxville,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Elizabeth,F,Googe,,,Elizabeth Googe,"[""2005-06 Women's Tennis Roster"" ""2006-07 Women's Tennis Roster""
 ""2007-08 Women's Tennis Roster"" ""2008-09 Women's Tennis Roster""]"
Stephanie Kent, Cornell,Stephanie Kent,2009,1,https://cornellbigred.com/sports/womens-tennis/roster/stephanie-kent/10753,"Groton, N.Y.",Saddlebrook Prep,['Freshman'],Cornell University,Stephanie,F,Kent,,,Stephanie Kent,"[""2008-09 Women's Tennis Roster""]"
Catherine Duboc, Cornell,Catherine Duboc,2009,4,https://cornellbigred.com/sports/womens-tennis/roster/catherine-duboc/10743,"Greenwood Village, Colo.",Kent Denver Upper School,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Catherine,F,Duboc,,,Catherine Duboc,"[""2005-06 Women's Tennis Roster"" ""2006-07 Women's Tennis Roster""
 ""2007-08 Women's Tennis Roster"" ""2008-09 Women's Tennis Roster""]"
Shayna Miller, Cornell,Shayna Miller,2009,4,https://cornellbigred.com/sports/womens-tennis/roster/shayna-miller/10748,"Upper St. Clair, Pa.",Upper St. Clair HS,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Shayna,F,Miller,,,Shayna Miller,"[""2005-06 Women's Tennis Roster"" ""2006-07 Women's Tennis Roster""
 ""2007-08 Women's Tennis Roster"" ""2008-09 Women's Tennis Roster""]"
Julia Loomis, Cornell,Julia Loomis,2009,1,https://cornellbigred.com/sports/womens-tennis/roster/julia-loomis/10754,"Niskayuna, N.Y.",Niskayuna HS,['Freshman'],Cornell University,Julia,F,Loomis,,,Julia Loomis,"[""2008-09 Women's Tennis Roster""]"
Tamara John, Cornell,Tamara John,2008,3,https://cornellbigred.com/sports/womens-tennis/roster/tamara-john/5417,"Macedon, N.Y.",Penfield HS,['Freshman' 'Sophomore' 'Junior'],Cornell University,Tamara,F,John,,,Tamara John,"[""2005-06 Women's Tennis Roster"" ""2006-07 Women's Tennis Roster""
 ""2007-08 Women's Tennis Roster""]"
Melissa Orteza, Cornell,Melissa Orteza,2008,1,https://cornellbigred.com/sports/womens-tennis/roster/melissa-orteza/5439,"Muntinlupa City, Philippines",De La Salle Zobel School,['Freshman'],Cornell University,Melissa,F,Orteza,,,Melissa Orteza,"[""2007-08 Women's Tennis Roster""]"
Weatherly Schwab, Cornell,Weatherly Schwab,2008,4,https://cornellbigred.com/sports/womens-tennis/roster/weatherly-schwab/5424,"Ithaca, N.Y.",Ithaca HS,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Weatherly,F,Schwab,,,Weatherly Schwab,"[""2004-05 Women's Tennis Roster"" ""2005-06 Women's Tennis Roster""
 ""2006-07 Women's Tennis Roster"" ""2007-08 Women's Tennis Roster""]"
Ashley Ebbert, Cornell,Ashley Ebbert,2008,4,https://cornellbigred.com/sports/womens-tennis/roster/ashley-ebbert/5421,"Paradise Valley, Ariz.",Saguaro HS,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Ashley,F,Ebbert,,,Ashley Ebbert,"[""2004-05 Women's Tennis Roster"" ""2005-06 Women's Tennis Roster""
 ""2006-07 Women's Tennis Roster"" ""2007-08 Women's Tennis Roster""]"
Dana Cruite, Cornell,Dana Cruite,2008,4,https://cornellbigred.com/sports/womens-tennis/roster/dana-cruite/5408,"Punta Gorda, Fla.",Charlotte HS,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Dana,F,Cruite,,,Dana Cruite,"[""2004-05 Women's Tennis Roster"" ""2005-06 Women's Tennis Roster""
 ""2006-07 Women's Tennis Roster"" ""2007-08 Women's Tennis Roster""]"
Kasia Preneta, Cornell,Kasia Preneta,2007,4,,"Boston, Mass.",Boston Latin School,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Kasia,F,Preneta,,,Kasia Preneta,"[""2003-04 Women's Tennis Roster"" ""2004-05 Women's Tennis Roster""
 ""2005-06 Women's Tennis Roster"" ""2006-07 Women's Tennis Roster""]"
Nisha Suda, Cornell,Nisha Suda,2007,4,,"Kinnelon, N.J.",Newark Academy,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Nisha,F,Suda,,,Nisha Suda,"[""2003-04 Women's Tennis Roster"" ""2004-05 Women's Tennis Roster""
 ""2005-06 Women's Tennis Roster"" ""2006-07 Women's Tennis Roster""]"
Melanie Tu, Cornell,Melanie Tu,2006,3,,"Greenvale, N.Y.",Roslyn HS,['Freshman' 'Sophomore' 'Junior'],Cornell University,Melanie,F,Tu,,,Melanie Tu,"[""2003-04 Women's Tennis Roster"" ""2004-05 Women's Tennis Roster""
 ""2005-06 Women's Tennis Roster""]"
Mollie Edinson, Cornell,Mollie Edinson,2006,4,,"Hadley, Mass.",Amherst Regional HS,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Mollie,F,Edinson,,,Mollie Edinson,"[""2002-03 Women's Tennis Roster"" ""2003-04 Women's Tennis Roster""
 ""2004-05 Women's Tennis Roster"" ""2005-06 Women's Tennis Roster""]"
Liying Wang, Cornell,Liying Wang,2006,4,,"Palo Alto, Calif.",Gunn HS,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Liying,F,Wang,,,Liying Wang,"[""2002-03 Women's Tennis Roster"" ""2003-04 Women's Tennis Roster""
 ""2004-05 Women's Tennis Roster"" ""2005-06 Women's Tennis Roster""]"
Melissa Tu, Cornell,Melissa Tu,2005,4,,"Greenvale, N.Y.",Roslyn HS,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Melissa,F,Tu,,,Melissa Tu,"[""2001-02 Women's Tennis Roster"" ""2002-03 Women's Tennis Roster""
 ""2003-04 Women's Tennis Roster"" ""2004-05 Women's Tennis Roster""]"
Akane Kokubo, Cornell,Akane Kokubo,2005,4,,"Battle Creek, Mich.",Lakeview HS,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Akane,F,Kokubo,,,Akane Kokubo,"[""2001-02 Women's Tennis Roster"" ""2002-03 Women's Tennis Roster""
 ""2003-04 Women's Tennis Roster"" ""2004-05 Women's Tennis Roster""]"
Kara Maloy, Cornell,Kara Maloy,2005,3,,"Cotuit, Mass.",Barnstable HS,['Freshman' 'Sophomore' 'Junior'],Cornell University,Kara,F,Maloy,,,Kara Maloy,"[""2002-03 Women's Tennis Roster"" ""2003-04 Women's Tennis Roster""
 ""2004-05 Women's Tennis Roster""]"
Erika Takeuchi, Cornell,Erika Takeuchi,2005,4,,"Redwood, Wash.",Lakeside HS,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Erika,F,Takeuchi,,,Erika Takeuchi,"[""2001-02 Women's Tennis Roster"" ""2002-03 Women's Tennis Roster""
 ""2003-04 Women's Tennis Roster"" ""2004-05 Women's Tennis Roster""]"
Jennifer Liu, Cornell,Jennifer Liu,2004,2,,"Bridgewater, N.J.",Bridgewater-Raritan HS,['Freshman' 'Sophomore'],Cornell University,Jennifer,F,Liu,,,Jennifer Liu,"[""2002-03 Women's Tennis Roster"" ""2003-04 Women's Tennis Roster""]"
Laura Leigh Tallent, Cornell,Laura Leigh Tallent,2004,4,,"Key Colony Beach, Fla.",Marathon HS,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Laura,F,Tallent,Leigh, Leigh,Laura Leigh Tallent,"[""2000-01 Women's Tennis Roster"" ""2001-02 Women's Tennis Roster""
 ""2002-03 Women's Tennis Roster"" ""2003-04 Women's Tennis Roster""]"
Nicole Chiu, Cornell,Nicole Chiu,2003,4,,"Edmonton, Alb.",Harry Ainlay HS,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Nicole,F,Chiu,,,Nicole Chiu,"[""1999-2000 Women's Tennis Roster"" ""2000-01 Women's Tennis Roster""
 ""2001-02 Women's Tennis Roster"" ""2002-03 Women's Tennis Roster""]"
Piper Lucas, Cornell,Piper Lucas,2003,4,,"Atlanta, GA.",Westminster,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Piper,F,Lucas,,,Piper Lucas,"[""1999-2000 Women's Tennis Roster"" ""2000-01 Women's Tennis Roster""
 ""2001-02 Women's Tennis Roster"" ""2002-03 Women's Tennis Roster""]"
Kate Sternberg, Cornell,Kate Sternberg,2003,3,,"Glen Coe, Ill.",New Trier HS,['Freshman' 'Sophomore' 'Junior'],Cornell University,Kate,F,Sternberg,,,Kate Sternberg,"[""2000-01 Women's Tennis Roster"" ""2001-02 Women's Tennis Roster""
 ""2002-03 Women's Tennis Roster""]"
Nicole Itskovich, Cornell,Nicole Itskovich,2002,1,,"Forest Hills, N.Y.",Benjamin N. Cardozo,['Freshman'],Cornell University,Nicole,F,Itskovich,,,Nicole Itskovich,"[""2001-02 Women's Tennis Roster""]"
Jaymie Brill, Cornell,Jaymie Brill,2002,1,,"Melville, N.Y.",Half Hollow Hills HS East,['Freshman'],Cornell University,Jaymie,F,Brill,,,Jaymie Brill,"[""2001-02 Women's Tennis Roster""]"
Suzanne Wright, Cornell,Suzanne Wright,2002,3,,"Auckland, New Zealand",St.Cuthbert's College,['Freshman' 'Sophomore' 'Junior'],Cornell University,Suzanne,F,Wright,,,Suzanne Wright,"[""1999-2000 Women's Tennis Roster"" ""2000-01 Women's Tennis Roster""
 ""2001-02 Women's Tennis Roster""]"
Camila Romulo, Cornell,Camila Romulo,2002,2,,"Rio de Janiero, Brazil",Centro Ed. Lagoa,['Junior' 'Senior'],Cornell University,Camila,F,Romulo,,,Camila Romulo,"[""2000-01 Women's Tennis Roster"" ""2001-02 Women's Tennis Roster""]"
Daniela DelPrete, Cornell,Daniela DelPrete,2002,3,,"Rye, N.Y.",Horace Mann HS,['Freshman' 'Sophomore' 'Junior'],Cornell University,Daniela,F,DelPrete,,,Daniela DelPrete,"[""1999-2000 Women's Tennis Roster"" ""2000-01 Women's Tennis Roster""
 ""2001-02 Women's Tennis Roster""]"
